Date,Open,High,Low,Close,Adj Close,Volume
2015-03-18,156.850006,160.699997,155.800003,159.809998,134.336044,5729500
2015-03-19,159.699997,160.919998,158.809998,159.809998,134.336044,3878600
2015-03-20,160.949997,163.000000,160.350006,162.880005,136.916702,9006400
2015-03-23,162.770004,165.350006,162.729996,164.630005,138.387741,5924100
2015-03-24,164.789993,164.889999,162.899994,163.000000,137.017578,4346100
2015-03-25,163.080002,163.080002,159.199997,159.199997,133.823273,5428900
2015-03-26,159.270004,161.250000,158.910004,160.589996,134.991653,4396000
2015-03-27,160.789993,160.899994,159.229996,160.399994,134.831985,3439800
2015-03-30,161.309998,163.600006,161.250000,162.669998,136.740173,4138000
2015-03-31,161.080002,162.330002,160.399994,160.500000,134.916016,4255400
2015-04-01,160.229996,160.619995,158.389999,159.179993,133.806442,3687800
2015-04-02,159.520004,162.539993,158.889999,160.449997,134.874039,4671600
2015-04-06,159.690002,162.800003,158.699997,162.039993,136.210587,3465700
2015-04-07,161.669998,163.839996,161.619995,162.070007,136.235779,3148000
2015-04-08,161.720001,163.550003,161.009995,161.850006,136.050903,2524300
2015-04-09,161.699997,162.470001,160.720001,162.339996,136.462753,2263500
2015-04-10,162.339996,163.330002,161.250000,162.860001,136.899887,2515700
2015-04-13,162.369995,164.000000,162.360001,162.380005,136.496384,3868900
2015-04-14,162.419998,162.740005,160.789993,162.300003,136.429138,2716200
2015-04-15,162.630005,164.960007,162.500000,164.130005,137.967453,3498800
2015-04-16,163.309998,163.979996,162.539993,163.130005,137.126846,3136900
2015-04-17,161.750000,161.860001,160.029999,160.669998,135.058929,4314400
2015-04-20,162.100006,166.639999,161.899994,166.160004,139.673843,9323000
2015-04-21,166.070007,167.380005,164.050003,164.259995,138.076691,9683600
2015-04-22,164.389999,166.000000,162.889999,165.360001,139.001358,4024800
2015-04-23,165.229996,171.910004,165.139999,170.240005,143.103485,8235600
2015-04-24,170.229996,170.850006,168.740005,169.779999,142.716812,3888400
2015-04-27,170.889999,171.490005,170.300003,170.729996,143.515350,3168600
2015-04-28,170.830002,174.690002,170.020004,173.919998,146.196899,5816700
2015-04-29,173.399994,175.130005,172.800003,174.399994,146.600342,4518400
2015-04-30,173.770004,174.279999,170.300003,171.289993,143.986115,5062900
2015-05-01,173.199997,174.000000,172.419998,173.669998,145.986725,3312100
2015-05-04,174.470001,176.300003,173.699997,173.970001,146.238907,4028000
2015-05-05,173.509995,174.229996,171.960007,173.080002,145.490784,3593600
2015-05-06,172.899994,174.050003,168.860001,170.050003,144.025558,3612600
2015-05-07,169.630005,171.979996,169.039993,170.990005,145.937363,2472000
2015-05-08,172.940002,173.330002,172.240005,172.679993,147.379730,3092600
2015-05-11,172.649994,172.990005,170.860001,171.119995,146.048264,2661000
2015-05-12,170.550003,171.490005,168.839996,170.550003,145.561783,2962400
2015-05-13,171.240005,172.740005,170.750000,172.279999,147.038330,2457500
2015-05-14,173.500000,174.399994,173.220001,174.050003,148.549011,2439100
2015-05-15,173.910004,174.410004,172.600006,173.259995,147.874756,2916600
2015-05-18,173.440002,173.490005,172.300003,173.059998,147.704041,1923600
2015-05-19,172.970001,173.750000,171.929993,173.479996,148.062515,2523000
2015-05-20,173.330002,174.440002,172.460007,173.759995,148.301468,2300300
2015-05-21,173.320007,174.139999,173.039993,173.339996,147.943054,2295600
2015-05-22,173.039993,173.389999,172.190002,172.220001,146.987137,2849700
2015-05-26,172.110001,172.119995,169.130005,170.130005,145.203339,3854200
2015-05-27,171.160004,172.479996,170.490005,172.000000,146.799362,2764400
2015-05-28,171.449997,171.839996,170.660004,171.710007,146.551880,1731400
2015-05-29,171.350006,171.350006,169.649994,169.649994,144.793640,3996000
2015-06-01,170.210007,171.039993,169.029999,170.179993,145.246048,2985500
2015-06-02,169.660004,170.449997,168.429993,169.649994,144.793640,2571400
2015-06-03,170.500000,171.559998,169.630005,169.919998,145.024124,2131000
2015-06-04,169.529999,170.600006,167.929993,168.380005,143.709732,3079300
2015-06-05,168.250000,168.910004,167.199997,167.399994,142.873306,3100500
2015-06-08,167.169998,167.279999,165.020004,165.339996,141.115173,3757400
